id,rate,duration,start_time,end_time,source,quantity
1,2.35,4.2,2025-01-05 08:30:00,2025-01-05 12:42:00,Site_A,9.87
2,15.8,1.5,2025-01-12 14:20:00,2025-01-12 15:50:00,Site_B,23.70
3,0.85,8.3,2025-01-18 09:00:00,2025-01-18 17:18:00,Site_A,7.06
4,12.4,2.1,2025-01-25 11:45:00,2025-01-25 13:51:00,Site_C,26.04
5,3.2,5.8,2025-02-03 07:15:00,2025-02-03 13:03:00,Site_A,18.56
6,8.9,3.4,2025-02-10 10:30:00,2025-02-10 13:54:00,Site_B,30.26
7,1.45,12.6,2025-02-15 06:00:00,2025-02-15 18:36:00,Site_D,18.27
8,22.5,0.8,2025-02-22 16:40:00,2025-02-22 17:28:00,Site_C,18.00
9,4.7,6.2,2025-03-01 08:20:00,2025-03-01 14:32:00,Site_A,29.14
10,11.2,2.9,2025-03-08 13:15:00,2025-03-08 16:09:00,Site_B,32.48
11,0.62,15.4,2025-03-14 05:30:00,2025-03-14 20:54:00,Site_A,9.55
12,18.3,1.2,2025-03-21 12:00:00,2025-03-21 13:12:00,Site_C,21.96
13,5.1,4.8,2025-03-28 09:45:00,2025-03-28 14:33:00,Site_D,24.48
14,9.8,3.1,2025-04-05 11:20:00,2025-04-05 14:26:00,Site_B,30.38
15,2.9,7.5,2025-04-12 07:00:00,2025-04-12 14:30:00,Site_A,21.75
16,14.6,1.9,2025-04-19 15:30:00,2025-04-19 17:24:00,Site_C,27.74
17,1.2,10.8,2025-04-26 06:15:00,2025-04-26 17:03:00,Site_D,12.96
18,7.4,4.3,2025-05-03 10:00:00,2025-05-03 14:18:00,Site_B,31.82
19,19.2,1.4,2025-05-10 14:45:00,2025-05-10 16:09:00,Site_C,26.88
20,3.8,6.1,2025-05-17 08:30:00,2025-05-17 14:36:00,Site_A,23.18
21,10.5,2.7,2025-05-24 12:20:00,2025-05-24 15:02:00,Site_B,28.35
22,0.95,11.2,2025-05-31 05:45:00,2025-05-31 16:57:00,Site_D,10.64
23,16.7,1.6,2025-06-07 13:30:00,2025-06-07 15:06:00,Site_C,26.72
24,4.3,5.9,2025-06-14 09:15:00,2025-06-14 15:09:00,Site_A,25.37
25,12.8,2.3,2025-06-21 11:00:00,2025-06-21 13:18:00,Site_B,29.44
26,2.1,8.7,2025-06-28 07:30:00,2025-06-28 16:12:00,Site_A,18.27
27,8.6,3.8,2025-07-05 10:45:00,2025-07-05 14:33:00,Site_C,32.68
28,21.4,1.1,2025-07-12 15:20:00,2025-07-12 16:26:00,Site_B,23.54
29,1.35,13.2,2025-07-19 06:00:00,2025-07-19 19:12:00,Site_D,17.82
30,6.9,4.6,2025-07-26 09:30:00,2025-07-26 14:06:00,Site_A,31.74
31,13.5,2.4,2025-08-02 12:15:00,2025-08-02 14:39:00,Site_C,32.40
32,3.6,6.8,2025-08-09 08:00:00,2025-08-09 14:48:00,Site_A,24.48
33,9.2,3.5,2025-08-16 10:20:00,2025-08-16 13:50:00,Site_B,32.20
34,17.8,1.7,2025-08-23 14:30:00,2025-08-23 16:12:00,Site_C,30.26
35,1.8,9.4,2025-08-30 06:45:00,2025-08-30 16:09:00,Site_D,16.92
36,5.7,5.2,2025-09-06 09:00:00,2025-09-06 14:12:00,Site_A,29.64
37,11.9,2.8,2025-09-13 11:30:00,2025-09-13 14:18:00,Site_B,33.32
38,0.78,14.6,2025-09-20 05:15:00,2025-09-20 19:51:00,Site_A,11.39
39,15.2,1.8,2025-09-27 13:45:00,2025-09-27 15:33:00,Site_C,27.36
40,4.5,6.4,2025-10-04 08:15:00,2025-10-04 14:39:00,Site_D,28.80
41,10.1,3.2,2025-10-11 10:50:00,2025-10-11 14:02:00,Site_B,32.32
42,2.4,7.9,2025-10-18 07:00:00,2025-10-18 14:54:00,Site_A,18.96
43,18.5,1.3,2025-10-25 15:10:00,2025-10-25 16:28:00,Site_C,24.05
44,6.3,4.9,2025-11-01 09:20:00,2025-11-01 14:14:00,Site_A,30.87
45,13.2,2.5,2025-11-08 12:00:00,2025-11-08 14:30:00,Site_B,33.00
46,1.05,12.8,2025-11-15 05:30:00,2025-11-15 18:18:00,Site_D,13.44
47,20.3,1.5,2025-11-22 14:20:00,2025-11-22 15:50:00,Site_C,30.45
48,3.9,6.6,2025-11-29 08:45:00,2025-11-29 15:21:00,Site_A,25.74
49,8.7,3.9,2025-12-06 10:15:00,2025-12-06 14:09:00,Site_B,33.93
50,14.9,2.0,2025-12-13 13:30:00,2025-12-13 15:30:00,Site_C,29.80
