plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,emission_cmf_type,plume_bounds,instrument,mission_phase,published_at,modified,emission_version,processing_software,gsd,sensitivity_mode,off_nadir,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,con_tif,rgb_tif,rgb_png
tan20250101t175004c00s4001-A,32.3866856,-101.6321112,2025-01-01T17:50:04+00,Oil & Gas (1B2),CH4,mfa,"[-101.66007611680448, 32.37449041884426, -101.62301849123328, 32.405782624094996]",tan,first_light,2025-01-31 18:19:04.982720+00:00,2025-03-25 22:40:50.196594+00:00,v1,0.17.1,36.92009645,standard_sensitivity,4.803869038,721.9640662,175.1210061,4.067216635,0.397460004,103.2365615,4.093520754,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-A/tan20250101t175004c00s4001-A_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-A/tan20250101t175004c00s4001-A_l3a-vis-ch4-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v1/2025/01/01/tan20250101t175004c00s4001-A/tan20250101t175004c00s4001-A_l3a-ime-ch4-mfa-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-A/tan20250101t175004c00s4001-A_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-A/tan20250101t175004c00s4001-A_l3a-vis-ch4-mfa-v002_rgb.png
tan20250101t175004c00s4001-B,32.32711003,-101.819942,2025-01-01T17:50:04+00,Oil & Gas (1B2),CH4,mfa,"[-101.84432114542379, 32.312089552291404, -101.80761428410811, 32.34310700901774]",tan,first_light,2025-01-31 18:19:05.088057+00:00,2025-03-25 22:41:41.809595+00:00,v1,0.17.1,36.92009645,standard_sensitivity,4.803869038,1226.993754,228.9536833,4.089774688,0.54550482,103.1667635,4.515393791,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-B/tan20250101t175004c00s4001-B_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-B/tan20250101t175004c00s4001-B_l3a-vis-ch4-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v1/2025/01/01/tan20250101t175004c00s4001-B/tan20250101t175004c00s4001-B_l3a-ime-ch4-mfa-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-B/tan20250101t175004c00s4001-B_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-B/tan20250101t175004c00s4001-B_l3a-vis-ch4-mfa-v002_rgb.png
tan20250101t175004c00s4001-C,32.29345013,-101.8314536,2025-01-01T17:50:04+00,Oil & Gas (1B2),CH4,mfa,"[-101.85246977823059, 32.2772827975354, -101.81545714894325, 32.30830092479737]",tan,first_light,2025-01-31 18:19:05.173413+00:00,2025-03-25 22:41:43.762284+00:00,v1,0.17.1,36.92009645,standard_sensitivity,4.803869038,2558.218156,476.3628179,4.131437381,0.588132301,102.542945,4.417866278,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-C/tan20250101t175004c00s4001-C_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-C/tan20250101t175004c00s4001-C_l3a-vis-ch4-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v1/2025/01/01/tan20250101t175004c00s4001-C/tan20250101t175004c00s4001-C_l3a-ime-ch4-mfa-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-C/tan20250101t175004c00s4001-C_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-C/tan20250101t175004c00s4001-C_l3a-vis-ch4-mfa-v002_rgb.png
tan20250101t175004c00s4001-E,31.84475052,-101.7726237,2025-01-01T17:50:04+00,Oil & Gas (1B2),CH4,mfa,"[-101.79243459699423, 31.833339593016635, -101.75559739467298, 31.864630654009332]",tan,first_light,2025-01-31 18:19:05.262220+00:00,2025-03-25 22:41:45.136464+00:00,v1,0.17.1,36.92009645,standard_sensitivity,4.803869038,828.5136341,200.7285019,4.175101995,0.597136528,106.8519628,4.889322582,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-E/tan20250101t175004c00s4001-E_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-E/tan20250101t175004c00s4001-E_l3a-vis-ch4-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v1/2025/01/01/tan20250101t175004c00s4001-E/tan20250101t175004c00s4001-E_l3a-ime-ch4-mfa-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-E/tan20250101t175004c00s4001-E_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-E/tan20250101t175004c00s4001-E_l3a-vis-ch4-mfa-v002_rgb.png
tan20250101t175004c00s4001-F,32.42265224,-101.7548016,2025-01-01T17:50:04+00,Oil & Gas (1B2),CH4,mfa,"[-101.7736359005272, 32.40723933071043, -101.73656760899644, 32.438529188132826]",tan,first_light,2025-01-31 18:19:05.426826+00:00,2025-03-25 22:43:12.742584+00:00,v1,0.17.1,36.92009645,standard_sensitivity,4.803869038,580.0181614,117.211225,4.010145028,0.239832711,101.947622,6.925675219,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-F/tan20250101t175004c00s4001-F_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-F/tan20250101t175004c00s4001-F_l3a-vis-ch4-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v1/2025/01/01/tan20250101t175004c00s4001-F/tan20250101t175004c00s4001-F_l3a-ime-ch4-mfa-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-F/tan20250101t175004c00s4001-F_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-F/tan20250101t175004c00s4001-F_l3a-vis-ch4-mfa-v002_rgb.png
tan20250101t175004c00s4001-G,32.32742696,-101.7820875,2025-01-01T17:50:04+00,Oil & Gas (1B2),CH4,mfa,"[-101.80068248506768, 32.31251302515768, -101.76397439760251, 32.343531372747364]",tan,first_light,2025-01-31 18:19:05.506223+00:00,2025-03-25 22:31:34.822214+00:00,v1,0.17.1,36.92009645,standard_sensitivity,4.803869038,461.2066199,180.7349279,4.042137305,0.545012508,103.8561069,4.315256799,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-G/tan20250101t175004c00s4001-G_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-G/tan20250101t175004c00s4001-G_l3a-vis-ch4-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v1/2025/01/01/tan20250101t175004c00s4001-G/tan20250101t175004c00s4001-G_l3a-ime-ch4-mfa-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-G/tan20250101t175004c00s4001-G_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-G/tan20250101t175004c00s4001-G_l3a-vis-ch4-mfa-v002_rgb.png
tan20250101t175004c00s4001-I,32.28960824,-101.6374327,2025-01-01T17:50:04+00,Oil & Gas (1B2),CH4,mfa,"[-101.65649531940055, 32.2742019529118, -101.61947926130588, 32.305224007130775]",tan,first_light,2025-01-31 18:19:05.586100+00:00,2025-03-25 22:43:26.082582+00:00,v1,0.17.1,36.92009645,standard_sensitivity,4.803869038,408.2832529,125.3097332,4.225650867,0.62566676,102.7009334,2.896047482,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-I/tan20250101t175004c00s4001-I_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-I/tan20250101t175004c00s4001-I_l3a-vis-ch4-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v1/2025/01/01/tan20250101t175004c00s4001-I/tan20250101t175004c00s4001-I_l3a-ime-ch4-mfa-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-I/tan20250101t175004c00s4001-I_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-I/tan20250101t175004c00s4001-I_l3a-vis-ch4-mfa-v002_rgb.png
tan20250101t175004c00s4001-J,32.20781848,-101.7771295,2025-01-01T17:50:04+00,Oil & Gas (1B2),CH4,mfa,"[-101.79699443845772, 32.19248709462642, -101.76001472601087, 32.223506588528416]",tan,first_light,2025-01-31 18:19:05.344768+00:00,2025-03-25 22:42:05.003495+00:00,v1,0.17.1,36.92009645,standard_sensitivity,4.803869038,491.4545015,133.0139221,4.00843056,0.677845851,100.2690347,3.826867474,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-J/tan20250101t175004c00s4001-J_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-J/tan20250101t175004c00s4001-J_l3a-vis-ch4-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v1/2025/01/01/tan20250101t175004c00s4001-J/tan20250101t175004c00s4001-J_l3a-ime-ch4-mfa-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-J/tan20250101t175004c00s4001-J_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-J/tan20250101t175004c00s4001-J_l3a-vis-ch4-mfa-v002_rgb.png
tan20250101t175004c00s4001-K,32.20737687,-101.7864359,2025-01-01T17:50:04+00,Oil & Gas (1B2),CH4,mfa,"[-101.80556373504295, 32.19148804750856, -101.76858369396999, 32.22277785136592]",tan,first_light,2025-01-31 18:19:05.672926+00:00,2025-03-25 22:31:34.940977+00:00,v1,0.17.1,36.92009645,standard_sensitivity,4.803869038,,,4.00843056,0.677845851,100.2690347,3.826867474,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-K/tan20250101t175004c00s4001-K_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-K/tan20250101t175004c00s4001-K_l3a-vis-ch4-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v1/2025/01/01/tan20250101t175004c00s4001-K/tan20250101t175004c00s4001-K_l3a-ime-ch4-mfa-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-K/tan20250101t175004c00s4001-K_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-K/tan20250101t175004c00s4001-K_l3a-vis-ch4-mfa-v002_rgb.png
tan20250101t175004c00s4001-L,31.81085952,-101.9617559,2025-01-01T17:50:04+00,Oil & Gas (1B2),CH4,mfa,"[-101.98142500280794, 31.79691068966349, -101.94492616906756, 31.827926611621464]",tan,first_light,2025-01-31 18:19:05.753876+00:00,2025-03-25 22:43:34.901537+00:00,v1,0.17.1,36.92009645,standard_sensitivity,4.803869038,622.7273055,170.8891514,4.144728581,0.600561365,103.7491596,6.545876409,hrrr,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-L/tan20250101t175004c00s4001-L_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-L/tan20250101t175004c00s4001-L_l3a-vis-ch4-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v1/2025/01/01/tan20250101t175004c00s4001-L/tan20250101t175004c00s4001-L_l3a-ime-ch4-mfa-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-L/tan20250101t175004c00s4001-L_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2025/01/01/tan20250101t175004c00s4001-L/tan20250101t175004c00s4001-L_l3a-vis-ch4-mfa-v002_rgb.png
