id,siteId,observation_time,startTime,endTime,rate (kg/hr),technology,uncertainty
1,A,2024-01-01T02:16:00,2024-01-01T02:16:00,2024-01-01T18:46:00,13.43743062,CMS,5.374972248
2,A,2024-01-01T17:12:00,2024-01-01T17:12:00,2024-01-02T00:32:00,11.0537834,CMS,4.42151336
3,A,2024-01-02T08:38:00,2024-01-02T08:38:00,2024-01-03T02:14:00,6.485984945,CMS,2.594393978
4,A,2024-01-03T01:20:00,2024-01-03T01:20:00,2024-01-03T17:55:00,9.745295575,CMS,3.89811823
5,A,2024-01-03T23:33:00,2024-01-03T23:33:00,2024-01-04T03:06:00,5.279977194,CMS,2.111990878
6,A,2024-01-04T12:02:00,2024-01-04T12:02:00,2024-01-04T20:25:00,44.44340994,CMS,17.77736398
7,A,2024-01-05T12:21:00,2024-01-05T12:21:00,2024-01-05T14:09:00,26.4754512,CMS,10.59018048
8,A,2024-01-05T18:40:00,2024-01-05T18:40:00,2024-01-06T15:03:00,10.2931667,CMS,4.11726668
9,A,2024-01-06T12:55:00,2024-01-06T12:55:00,2024-01-07T06:39:00,22.90488356,CMS,9.161953424
10,A,2024-01-07T03:28:00,2024-01-07T03:28:00,2024-01-07T07:34:00,4.38235222,CMS,1.752940888
11,A,2024-01-07T15:50:00,2024-01-07T15:50:00,2024-01-08T05:10:00,15.68792648,CMS,6.275170592
12,A,2024-01-08T21:11:00,2024-01-08T21:11:00,2024-01-09T05:36:00,23.01335768,CMS,9.205343072
13,A,2024-01-09T04:54:00,2024-01-09T04:54:00,2024-01-09T15:33:00,16.46214129,CMS,6.584856516
14,A,2024-01-09T20:05:00,2024-01-09T20:05:00,2024-01-10T10:21:00,6.575924082,CMS,2.630369633
15,A,2024-01-10T09:17:00,2024-01-10T09:17:00,2024-01-11T20:43:00,9.97428315,CMS,3.98971326
16,A,2024-01-12T08:57:00,2024-01-12T08:57:00,2024-01-15T09:31:00,39.60280338,CMS,15.84112135
17,A,2024-01-15T09:19:00,2024-01-15T09:19:00,2024-01-15T12:30:00,4.631917288,CMS,1.852766915
18,A,2024-01-15T11:46:00,2024-01-15T11:46:00,2024-01-16T06:06:00,127.1398731,CMS,50.85594924
19,A,2024-01-16T11:53:00,2024-01-16T11:53:00,2024-01-17T03:15:00,50.81348771,CMS,20.32539508
20,A,2024-01-17T10:29:00,2024-01-17T10:29:00,2024-01-19T23:15:00,9.865365612,CMS,3.946146245
21,A,2024-01-20T17:49:00,2024-01-20T17:49:00,2024-01-21T00:07:00,7.830741333,CMS,3.132296533
22,A,2024-01-21T07:16:00,2024-01-21T07:16:00,2024-01-22T00:02:00,7.280364451,CMS,2.91214578
23,A,2024-01-22T02:24:00,2024-01-22T02:24:00,2024-01-22T07:15:00,1.872333732,CMS,0.748933493
24,A,2024-01-22T06:48:00,2024-01-22T06:48:00,2024-01-23T01:56:00,11.11957246,CMS,4.447828984
25,A,2024-01-22T13:05:00,2024-01-22T13:05:00,2024-01-23T02:59:00,15.78909064,CMS,6.315636256
26,A,2024-01-23T16:02:00,2024-01-23T16:02:00,2024-01-24T08:27:00,19.49150927,CMS,7.796603708
27,A,2024-01-23T16:02:00,2024-01-23T16:02:00,2024-01-24T06:27:00,27.31177958,CMS,10.92471183
28,A,2024-01-24T15:06:00,2024-01-24T15:06:00,2024-01-25T01:46:00,17.92923359,CMS,7.171693436
29,A,2024-01-25T16:45:00,2024-01-25T16:45:00,2024-01-26T05:08:00,19.41097409,CMS,7.764389636
30,A,2024-01-26T13:50:00,2024-01-26T13:50:00,2024-01-27T06:36:00,22.35054016,CMS,8.940216064
31,A,2024-01-27T01:45:00,2024-01-27T01:45:00,2024-01-27T08:08:00,13.98306741,CMS,5.593226964
32,A,2024-01-27T10:10:00,2024-01-27T10:10:00,2024-01-28T03:15:00,13.09969511,CMS,5.239878044
33,A,2024-01-27T10:10:00,2024-01-27T10:10:00,2024-01-27T23:37:00,16.04159662,CMS,6.416638648
34,A,2024-01-28T15:43:00,2024-01-28T15:43:00,2024-01-28T23:59:00,10.05147194,CMS,4.020588776
35,A,2024-01-29T15:48:00,2024-01-29T15:48:00,2024-01-30T00:36:00,12.67874941,CMS,5.071499764
36,A,2024-01-31T17:15:00,2024-01-31T17:15:00,2024-02-01T03:30:00,60.47970498,CMS,24.19188199
37,A,2024-02-01T13:45:00,2024-02-01T13:45:00,2024-02-01T22:38:00,10.77638599,CMS,4.310554396
38,A,2024-02-02T23:30:00,2024-02-02T23:30:00,2024-02-03T06:10:00,24.7853662,CMS,9.91414648
39,A,2024-02-03T11:03:00,2024-02-03T11:03:00,2024-02-03T15:53:00,17.19845255,CMS,6.87938102
40,A,2024-02-04T13:38:00,2024-02-04T13:38:00,2024-02-05T08:05:00,23.45762222,CMS,9.383048888
41,A,2024-02-07T04:05:00,2024-02-07T04:05:00,2024-02-07T09:11:00,14.86192301,CMS,5.944769204
42,A,2024-02-07T17:09:00,2024-02-07T17:09:00,2024-02-07T21:40:00,13.72649872,CMS,5.490599488
43,A,2024-02-08T08:39:00,2024-02-08T08:39:00,2024-02-08T14:27:00,17.22924512,CMS,6.891698048
44,A,2024-02-08T17:30:00,2024-02-08T17:30:00,2024-02-09T04:10:00,11.86600299,CMS,4.746401196
45,A,2024-02-08T17:30:00,2024-02-08T17:30:00,2024-02-09T04:10:00,14.76924197,CMS,5.907696788
46,A,2024-02-10T06:47:00,2024-02-10T06:47:00,2024-02-10T16:31:00,6.821435342,CMS,2.728574137
47,A,2024-02-10T14:50:00,2024-02-10T14:50:00,2024-02-10T23:17:00,28.89126158,CMS,11.55650463
