,source,pre_emissions,pre_emissions_lower,pre_emissions_upper,ue_emissions,ue_emissions_lower,ue_emissions_upper,total_emissions,total_emissions_lower,total_emissions_upper
0,CH4_1B1a_250m_-103.86877_31.98367?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,232507.08019227913,82016.3123198015,82016.3123198015,1844950.0441281777,1599686.4042633073,7593455.739641845,2077457.1243204568,1601787.5225732683,7593898.652562215
1,CH4_1B2_250m_-101.26737_31.15282?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,32074836.49878169,4675537.537547827,4675537.537547827,1029261.4635348201,896787.4422243143,3729164.1814017985,33104097.96231651,4760764.537503406,5980578.296190841
2,CH4_1B2_250m_-101.32793_32.36330?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,4637767.279887234,519134.47263405,519134.47263405,2714309.137154476,2400695.642289071,7052296.515169607,7352076.41704171,2456184.066307484,7071377.994319806
3,CH4_1B2_250m_-101.44280_31.39131?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,5047103.000372966,412088.82570807997,412088.82570807997,2762622.760676802,2333849.678097799,8308365.875754825,7809725.761049768,2369951.7970268223,8318579.24922764
4,CH4_1B2_250m_-101.52275_32.51480?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,59168455.199477956,13390576.081322253,13390576.081322253,2762622.760676802,2333849.678097799,8308365.875754825,59168455.199477956,13390576.081322253,13390576.081322253
5,CH4_1B2_250m_-101.55170_32.28120?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,20403069.98107085,3175006.74525752,3175006.74525752,935810.0377642626,836366.9237676505,3578373.2972587673,21338880.018835112,3283318.0570275728,4783871.16120045
6,CH4_1B2_250m_-101.64712_31.48990?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,5490536.1066574305,2010738.3091521026,2010738.3091521026,1935975.5529962238,1647521.1304794934,6844099.028251344,7426511.659653654,2599498.8792589013,7133355.455632563
7,CH4_1B2_250m_-101.68056_31.39830?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,6364234.43442018,1216417.2515699791,1216417.2515699791,1813956.91396929,1529199.6310791716,5809880.7071899995,8178191.348389469,1954001.6483129528,5935855.857557159
8,CH4_1B2_250m_-101.76426_31.85867?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,89630207.91126199,11444429.890298748,11444429.890298748,1135231.6444232657,995276.5568952204,4407920.519699127,90765439.55568525,11487625.992287032,12263960.976044733
9,CH4_1B2_250m_-101.77233_31.84476?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,22820682.511452448,2913858.0294292597,2913858.0294292597,1114333.8869168349,976864.9129979026,4071586.572685498,23935016.398369282,3073244.8119074027,5006833.913217234
10,CH4_1B2_250m_-101.77599_31.37456?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,14613865.026638655,729579.3896963473,729579.3896963473,1658603.3124100082,1487446.9988081849,4208764.193119614,16272468.339048663,1656739.1647852026,4271531.589389863
11,CH4_1B2_250m_-101.77700_31.36286?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1815023.277233,117319.32664370001,117319.32664370001,2757539.905126336,2359876.1670924113,7318893.9686536,4572563.182359336,2362790.5849683126,7319834.202275224
12,CH4_1B2_250m_-101.79613_31.34596?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,43472842.66506699,2364222.1304305126,2364222.1304305126,1497215.8148716718,1332781.4097301927,4630694.666790479,44970058.479938656,2714010.421523799,5199315.279828602
13,CH4_1B2_250m_-101.81706_31.57047?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,4726561.645642744,500388.83237157034,500388.83237157034,2086550.266153323,1621848.758296758,6123643.845316464,6813111.911796067,1697286.7696270184,6144054.2744871965
14,CH4_1B2_250m_-101.81997_32.32697?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,40948399.4163587,3280903.273093045,3280903.273093045,276365.8411660327,260505.88772251533,1321120.927163857,41224765.257524736,3291229.1936191185,3536903.559836336
